Country,Continent,Capital City,Abbreviation,Fact 1,Fact 1 Source,Fact 2,Fact 2 Source,Fact 3,Fact 3 Source,Fact 4,Fact 4 Source,Fact 5,Fact 5 Source,Fact 6,Fact 6 Source,Fact 7,Fact 7 Source,Fact 8,Fact 8 Source,Fact 9,Fact 9 Source,Fact 10,Fact 10 Source
Sweden,Europe,Stockholm,SWE,This country is home to the worlds first ice hotel.,https://www.icehotel.com/,Birthplace of Spotify,https://en.wikipedia.org/wiki/Spotify,Ranked 4th in the happiest countries in the world as of 2024,https://worldpopulationreview.com/country-rankings/happiest-countries-in-the-world,"Largest Nordic country at 450,295 square kilometers (173,860 sq mi)",https://en.wikipedia.org/wiki/Sweden,"The people of this country engage in Fika, a social coffee break often including pastries.",https://en.wikipedia.org/wiki/Coffee_culture#Sweden,This countries currency is the krona.,https://en.wikipedia.org/wiki/Swedish_krona,A popular dish in this country is meatballs served with lingonberry jam and mashed potatoes.,need source,The famous pop group ABBA was formed in this country.,https://en.wikipedia.org/wiki/ABBA,,,,
Switzerland,Europe,Bern,CHE,,,,,,,,,,,,,,,,,,,,
Syria,Asia,Damascus,SYR,,,,,,,,,,,,,,,,,,,,
Tajikistan,Asia,Dushanbe,TJK,,,,,,,,,,,,,,,,,,,,
Tanzania,Africa,Dodoma,TZA,,,,,,,,,,,,,,,,,,,,
Thailand,Asia,Bangkok,THA,,,,,,,,,,,,,,,,,,,,
Timor-Leste,Asia,Dili,TLS,,,,,,,,,,,,,,,,,,,,
Togo,Africa,Lomé,TGO,,,,,,,,,,,,,,,,,,,,
Tonga,Australia,Nuku'alofa,TON,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,N. America,Port of Spain,TTO,,,,,,,,,,,,,,,,,,,,
Tunisia,Africa,Tunis,TUN,,,,,,,,,,,,,,,,,,,,
Turkey,Asia,Ankara,TUR,,,,,,,,,,,,,,,,,,,,
Turkmenistan,Asia,Ashgabat,TKM,,,,,,,,,,,,,,,,,,,,
Tuvalu,Australia,Funafuti,TUV,,,,,,,,,,,,,,,,,,,,
Uganda,Africa,Kampala,UGA,8% of the worlds mammel scepcies can be found here,"https://www.safarisrwandasafari.com/information/facts-about-uganda-that-you-should-know/#:~:text=Uganda%20experiences%20tropical%20climate%20having,can%20be%20found%20in%20Uganda.&text=Uganda%20has%20some%20of%20the,producing%20country%20in%20the%20world.",This country is the second largest banana producer in the world,"https://www.safarisrwandasafari.com/information/facts-about-uganda-that-you-should-know/#:~:text=Uganda%20experiences%20tropical%20climate%20having,can%20be%20found%20in%20Uganda.&text=Uganda%20has%20some%20of%20the,producing%20country%20in%20the%20world.",This country has been ranked in 2012 and 2016 as the worlds top tourist destination,"https://www.safarisrwandasafari.com/information/facts-about-uganda-that-you-should-know/#:~:text=Uganda%20experiences%20tropical%20climate%20having,can%20be%20found%20in%20Uganda.&text=Uganda%20has%20some%20of%20the,producing%20country%20in%20the%20world.",This country boasts the highest concentration of primates of anywhere else in the world,"https://www.safarisrwandasafari.com/information/facts-about-uganda-that-you-should-know/#:~:text=Uganda%20experiences%20tropical%20climate%20having,can%20be%20found%20in%20Uganda.&text=Uganda%20has%20some%20of%20the,producing%20country%20in%20the%20world.",Ranked 133rd happiest courtyard (flat country) in the world,"https://www.safarisrwandasafari.com/information/facts-about-uganda-that-you-should-know/#:~:text=Uganda%20experiences%20tropical%20climate%20having,can%20be%20found%20in%20Uganda.&text=Uganda%20has%20some%20of%20the,producing%20country%20in%20the%20world.",This country is ranked the 2nd youngest country in the world,"https://www.safarisrwandasafari.com/information/facts-about-uganda-that-you-should-know/#:~:text=Uganda%20experiences%20tropical%20climate%20having,can%20be%20found%20in%20Uganda.&text=Uganda%20has%20some%20of%20the,producing%20country%20in%20the%20world.",The grey crowned cane is this countries official bird,"https://www.safarisrwandasafari.com/information/facts-about-uganda-that-you-should-know/#:~:text=Uganda%20experiences%20tropical%20climate%20having,can%20be%20found%20in%20Uganda.&text=Uganda%20has%20some%20of%20the,producing%20country%20in%20the%20world.",1066 different bird species have been identified here,https://destinationuganda.com/travel-guide/10-awesome-things-about-uganda/,"Size: 241,038 km² (93,263 sq mi) – 18.2% water & swamps",https://www.nkuringosafaris.com/basic-facts-about-uganda/,"There are 56 tribes here, each with their own language",https://www.nkuringosafaris.com/basic-facts-about-uganda/
Ukraine,Europe,Kyiv,UKR,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,Asia,Abu Dhabi,ARE,Home to the Burj Khalifa in Dubai—the tallest building on the planet.,https://en.wikipedia.org/wiki/Burj_Khalifa,Palm Jumeirah is a world-famous man-made island that redefines luxury waterfront living.,https://www.nakheel.com/,"A federation established in 1971, this country is composed of seven emirates, including Abu Dhabi, Dubai, and Sharjah.",https://en.wikipedia.org/wiki/United_Arab_Emirates,"Every year, Dubai lights up with the renowned Dubai Shopping Festival, drawing millions of visitors.",https://en.wikipedia.org/wiki/Dubai_Shopping_Festival,The Sheikh Zayed Grand Mosque stands as a breathtaking symbol of Islamic art and architecture in this country.,https://en.wikipedia.org/wiki/Sheikh_Zayed_Grand_Mosque,"From vast deserts to futuristic skylines, cities like Dubai and Abu Dhabi are a testament to rapid modern development.",https://en.wikipedia.org/wiki/Abu_Dhabi,"Once known solely for oil, this country now thrives as a global hub for tourism, finance, and technology.",https://en.wikipedia.org/wiki/Economy_of_the_United_Arab_Emirates,"Only in this country can you hit the slopes indoors at Ski Dubai, the world’s first indoor ski resort.",https://www.skidxb.com/en-ae/ski-dubai,"A true crossroads of tradition and modernity, this country celebrates a blend of deep-rooted Emirati heritage and cosmopolitan influences.",https://en.wikipedia.org/wiki/Culture_of_the_United_Arab_Emirates,"Native citizens make up only a small fraction of the total population, as expatriates from over 200 countries form the majority—creating a truly global melting pot in the heart of the desert!",https://www.cia.gov/the-world-factbook/countries/united-arab-emirates/
United Kingdom,Europe,London,GBR,,,,,,,,,,,,,,,,,,,,
United States,N. America,Washington DC,USA,,,,,,,,,,,,,,,,,,,,
Uruguay,S. America,Montevideo,URY,,,,,,,,,,,,,,,,,,,,
Uzbekistan,Asia,Tashkent,UZB,,,,,,,,,,,,,,,,,,,,
Vanuatu,Australia,Port Vila,VUT,,,,,,,,,,,,,,,,,,,,
Venezuela,S. America,Caracas,VEN,,,,,,,,,,,,,,,,,,,,
Vietnam,Asia,Hanoi,VNM,,,,,,,,,,,,,,,,,,,,
Yemen,Asia,Sana'a,YEM,,,,,,,,,,,,,,,,,,,,
Zambia,Africa,Lusaka,ZMB,,,,,,,,,,,,,,,,,,,,
Zimbabwe,Africa,Harare,ZWE,,,,,,,,,,,,,,,,,,,,
